OrderID,CustomerID,OrderDate,ShippedDate
1,PX60,2020-09-13,2020-11-01
2,TB21,2020-09-12,2020-10-27
3,TH11,2020-09-20,2020-11-01
4,VG25,2020-08-30,2020-10-30
5,GE67,2020-09-15,2020-11-07
6,LY60,2020-10-06,2020-11-06
7,TQ13,2020-09-05,2020-10-23
8,VC63,2020-08-16,2020-11-12
9,SB33,2020-09-13,2020-10-19
10,WW61,2020-09-18,2020-10-24
11,OR78,2020-09-10,2020-10-13
12,JM05,2020-09-11,2020-10-30
13,GU07,2020-09-27,2020-10-18
14,SW62,2020-10-03,2020-11-12
15,MN22,2020-08-15,2020-10-26
16,HS02,2020-09-30,2020-10-19
17,YP39,2020-09-04,2020-11-04
18,IM26,2020-09-10,2020-10-17
19,SA24,2020-08-31,2020-11-12
20,PL50,2020-08-15,2020-10-28
21,MH35,2020-10-09,2020-11-12
22,OF92,2020-08-14,2020-10-15
23,GD53,2020-09-30,2020-11-02
24,UC73,2020-09-27,2020-11-07
25,TD94,2020-09-13,2020-10-20
26,FD77,2020-09-03,2020-11-10
27,YJ92,2020-09-25,2020-10-19
28,XO38,2020-09-27,2020-10-13
29,MZ59,2020-09-16,2020-11-11
30,RL85,2020-09-17,2020-11-04
31,MO60,2020-09-29,2020-10-26
32,CK11,2020-10-09,2020-11-10
33,YU42,2020-09-27,2020-10-25
34,HS90,2020-08-30,2020-10-30
35,JP81,2020-08-18,2020-10-18
36,LF75,2020-09-21,2020-11-06
37,XJ13,2020-09-13,2020-10-17
38,VW35,2020-08-27,2020-10-30
39,NX60,2020-10-09,2020-10-25
40,DB63,2020-10-08,2020-11-01
41,BI74,2020-10-02,2020-11-04
42,JB90,2020-08-28,2020-10-16
43,ZW46,2020-08-14,2020-11-03
44,JV94,2020-08-26,2020-10-15
45,XZ43,2020-09-18,2020-11-04
46,TS39,2020-08-23,2020-10-26
47,UR33,2020-09-25,2020-11-09
48,JD02,2020-10-07,2020-11-03
49,FA87,2020-08-20,2020-10-14
50,RL15,2020-10-05,2020-11-01
51,NH37,2020-09-23,2020-10-22
52,UR68,2020-09-14,2020-10-21
53,AL36,2020-09-16,2020-11-01
54,UZ85,2020-09-02,2020-10-22
55,YE18,2020-09-07,2020-11-10
56,UG64,2020-09-19,2020-10-25
57,EG75,2020-09-03,2020-11-10
58,UL69,2020-10-08,2020-11-08
59,IV88,2020-09-27,2020-10-21
60,TS47,2020-10-11,2020-10-19
61,AP70,2020-09-05,2020-11-12
62,ZI83,2020-08-15,2020-10-23
63,OO00,2020-08-14,2020-10-18
64,IT42,2020-09-14,2020-10-29
65,BW32,2020-09-11,2020-10-13
66,AL55,2020-09-26,2020-11-08
67,XM57,2020-08-22,2020-11-12
68,DS88,2020-08-26,2020-11-10
69,LT79,2020-08-25,2020-11-02
70,TG94,2020-09-29,2020-11-06
71,AA27,2020-09-02,2020-10-19
72,VM13,2020-08-31,2020-10-31
73,DT85,2020-08-25,2020-10-24
74,VT04,2020-09-10,2020-10-15
75,TR88,2020-09-04,2020-10-18
76,QP99,2020-09-01,2020-10-15
77,UL15,2020-08-19,2020-11-02
78,KJ13,2020-09-19,2020-10-18
79,OU84,2020-10-05,2020-10-27
80,BF99,2020-10-05,2020-11-01
81,YI77,2020-09-10,2020-11-08
82,FJ11,2020-08-16,2020-10-24
83,SF98,2020-09-02,2020-10-29
84,TG01,2020-09-01,2020-10-28
85,JG65,2020-09-25,2020-11-06
86,UJ71,2020-10-06,2020-11-01
87,VE72,2020-08-14,2020-11-07
88,UF69,2020-09-16,2020-10-21
89,BO24,2020-09-15,2020-10-17
90,XI14,2020-09-25,2020-10-15
91,PC26,2020-09-12,2020-10-19
92,VQ18,2020-09-09,2020-10-18
93,NK10,2020-08-26,2020-11-07
94,JJ19,2020-10-01,2020-11-02
95,GM06,2020-09-21,2020-11-09
96,AA45,2020-09-02,2020-10-17
97,DX58,2020-10-03,2020-10-17
98,OW13,2020-08-23,2020-10-19
99,PJ44,2020-08-17,2020-11-12
100,BA35,2020-08-21,2020-11-06
101,PM85,2020-08-30,2020-10-21
102,DN76,2020-08-28,2020-11-04
103,CN21,2020-09-11,2020-10-20
104,WQ73,2020-08-19,2020-11-09
105,EM26,2020-09-12,2020-11-09
106,MX20,2020-10-05,2020-10-14
107,PN83,2020-09-06,2020-10-26
108,LP24,2020-10-11,2020-10-26
109,GA44,2020-09-05,2020-10-18
110,BY57,2020-10-07,2020-10-23
111,HM02,2020-10-09,2020-10-14
112,ML81,2020-10-08,2020-11-12
113,YV83,2020-10-04,2020-10-15
114,VD94,2020-08-21,2020-10-13
115,ZW92,2020-09-21,2020-11-02
116,XF22,2020-09-07,2020-10-31
117,GR10,2020-09-16,2020-10-27
118,FS46,2020-09-02,2020-10-26
119,IK78,2020-09-15,2020-10-22
120,QO07,2020-08-21,2020-10-30
121,LP40,2020-09-11,2020-10-26
122,AW92,2020-08-29,2020-11-04
123,RR67,2020-08-19,2020-11-02
124,QF72,2020-08-18,2020-10-22
125,DX21,2020-09-20,2020-10-29
126,DT22,2020-08-30,2020-10-29
127,VA35,2020-09-08,2020-10-31
128,KC19,2020-08-31,2020-11-03
129,TM51,2020-08-25,2020-10-28
130,CJ50,2020-09-27,2020-10-31
131,AU20,2020-08-19,2020-11-07
132,JO15,2020-09-11,2020-10-13
133,DN02,2020-09-06,2020-10-15
134,UY54,2020-08-18,2020-10-29
135,DP78,2020-09-24,2020-11-05
136,BA70,2020-10-10,2020-11-04
137,ZN39,2020-10-08,2020-10-21
138,YX87,2020-09-19,2020-11-05
139,DV73,2020-10-07,2020-10-22
140,UA42,2020-10-03,2020-10-28
141,YZ43,2020-08-24,2020-11-12
142,KQ57,2020-09-02,2020-10-19
143,VO14,2020-08-26,2020-11-01
144,SY77,2020-09-29,2020-10-18
145,IN97,2020-10-07,2020-10-15
146,ID88,2020-09-03,2020-10-30
147,IW86,2020-10-10,2020-10-19
148,ML00,2020-08-27,2020-10-30
149,WG04,2020-09-02,2020-11-04
150,WH58,2020-08-14,2020-10-14
151,UX72,2020-09-25,2020-11-04
152,GD00,2020-10-02,2020-10-23
153,OI74,2020-10-04,2020-11-01
154,HF55,2020-09-20,2020-11-02
155,HP02,2020-09-19,2020-11-11
156,VI60,2020-08-15,2020-11-04
157,XX07,2020-09-02,2020-11-01
158,AK22,2020-10-07,2020-11-03
159,WN18,2020-08-30,2020-10-22
160,YT78,2020-09-26,2020-11-04
161,FA88,2020-08-26,2020-10-17
162,YP79,2020-09-05,2020-10-13
163,AR09,2020-09-30,2020-10-30
164,HO92,2020-09-16,2020-10-16
165,DX49,2020-09-01,2020-10-17
166,LD58,2020-08-21,2020-11-04
167,BO23,2020-09-17,2020-11-12
168,JT48,2020-10-08,2020-10-20
169,IY51,2020-10-13,2020-10-16
170,TE30,2020-09-22,2020-11-11
171,JH42,2020-08-24,2020-10-31
172,HD74,2020-10-09,2020-10-18
173,DI18,2020-10-12,2020-10-20
174,HM18,2020-08-28,2020-10-15
175,XJ70,2020-09-01,2020-10-13
176,CJ56,2020-09-06,2020-11-03
177,VO28,2020-09-05,2020-10-25
178,HJ32,2020-09-10,2020-11-12
179,RV33,2020-08-23,2020-10-16
180,KO57,2020-08-19,2020-10-15
181,HK59,2020-09-04,2020-10-17
182,NN46,2020-09-01,2020-11-01
183,HX97,2020-10-01,2020-11-03
