OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,XC38,man87,15,55.46,19.97,2020-10-05,2020-12-01
2,XG73,man05,35,45.0,18.57,2020-11-06,2020-12-04
3,GD66,man42,67,85.56,10.19,2020-10-16,2020-11-15
4,HS99,man12,100,41.01,14.45,2020-10-15,2020-12-07
5,XY57,man82,47,56.27,27.52,2020-09-20,2020-11-15
6,RI44,man01,26,82.7,29.08,2020-09-17,2020-11-10
7,HI90,man48,93,49.82,19.09,2020-10-06,2020-11-12
8,TM91,man82,5,40.15,21.27,2020-09-27,2020-12-02
9,UU22,man88,36,23.57,10.29,2020-11-07,2020-11-18
10,JF76,man08,7,75.53,28.48,2020-10-24,2020-12-05
11,ZG59,man11,88,49.03,19.83,2020-10-16,2020-11-12
12,WR57,man78,73,99.85,27.64,2020-10-19,2020-11-14
13,BO27,man71,49,76.74,15.53,2020-10-20,2020-12-07
14,CR01,man11,45,99.0,29.09,2020-09-12,2020-12-03
15,QV28,man46,39,49.81,27.0,2020-10-03,2020-11-29
16,WV53,man06,92,24.78,20.75,2020-10-08,2020-11-10
17,RW43,man73,41,78.35,18.03,2020-10-14,2020-11-14
18,LB62,man74,14,20.22,12.45,2020-09-18,2020-11-30
19,ZL09,man57,30,28.15,13.04,2020-10-03,2020-11-30
20,QD30,man62,50,25.63,11.34,2020-10-05,2020-11-21
21,HH88,man25,65,64.0,11.32,2020-10-29,2020-12-01
22,YY86,man59,32,81.92,27.24,2020-09-30,2020-11-10
23,NU68,man70,67,52.33,28.65,2020-10-26,2020-12-03
24,LB76,man32,70,45.01,26.32,2020-09-16,2020-12-01
25,XL98,man35,15,36.37,11.36,2020-09-09,2020-12-06
26,VU47,man61,43,92.79,10.56,2020-09-25,2020-11-23
27,JY98,man25,79,86.5,27.5,2020-09-20,2020-12-04
28,ZJ45,man93,66,80.44,10.17,2020-10-15,2020-11-25
29,UL52,man31,95,54.59,24.45,2020-10-01,2020-11-18
30,BV11,man10,20,84.95,19.17,2020-10-15,2020-11-09
31,FP48,man84,61,42.91,15.6,2020-11-04,2020-11-24
32,BO73,man12,80,85.99,26.62,2020-10-23,2020-11-30
33,CI56,man87,3,53.27,18.23,2020-11-08,2020-12-01
34,XN81,man76,83,75.33,24.35,2020-10-05,2020-12-03
35,LG45,man08,76,79.95,26.09,2020-09-15,2020-11-23
36,CY85,man37,95,98.55,27.43,2020-10-27,2020-11-11
37,HG77,man42,9,99.6,18.36,2020-10-06,2020-12-04
38,TE91,man89,37,92.4,28.8,2020-09-19,2020-12-07
39,AN67,man42,1,89.43,13.87,2020-10-26,2020-11-12
40,HE03,man08,21,25.64,21.23,2020-10-08,2020-11-30
41,ZQ10,man61,43,58.91,12.89,2020-09-09,2020-11-24
42,FP35,man28,17,40.97,15.41,2020-09-29,2020-11-17
43,ZN08,man67,52,58.62,16.4,2020-10-29,2020-11-29
44,JL15,man74,14,40.26,27.48,2020-10-19,2020-12-02
45,GU30,man40,66,73.2,22.34,2020-10-05,2020-11-26
46,LR80,man16,73,41.06,28.46,2020-09-14,2020-11-27
47,AO33,man87,96,87.69,17.85,2020-09-26,2020-11-19
48,TO40,man15,22,92.08,12.16,2020-09-17,2020-11-22
49,TU07,man50,42,77.63,14.22,2020-09-11,2020-11-10
50,SQ80,man97,45,64.62,24.65,2020-10-11,2020-11-15
51,WG18,man76,3,46.6,28.17,2020-10-28,2020-11-30
52,HM89,man74,80,73.55,15.75,2020-10-28,2020-11-13
53,BI46,man73,98,82.47,23.37,2020-10-24,2020-11-24
54,AV51,man93,81,30.06,22.89,2020-09-16,2020-12-07
